city,restaurant,latitude,longitude
Montreal,McDonald's,45.5018869,-73.56739189999999
Montreal,Poulet Bronze,45.4951493,-73.5795709
Montreal,Joe's Panini 24hrs (1404 Rue Drummond),45.4987129,-73.5748021
Montreal,I Am Pho,45.4948197,-73.5798667
Montreal,Wok Cafe,45.4932398,-73.5801484
Montreal,Mexigrill Express,45.5133002,-73.57094289999999
Montreal,Mandy's,45.5018869,-73.56739189999999
Montreal,Poke Monster,45.5155634,-73.56398779999999
Montreal,Green Spot,45.4809248,-73.5788376
Montreal,Sumac,45.4794972,-73.58089439999999
Montreal,Five Guys Burgers & Fries,45.5018869,-73.56739189999999
Montreal,Notre-Boeuf-de-Grâce,45.5018869,-73.56739189999999
Montreal,Subway,45.5018869,-73.56739189999999
Montreal,Pizza Hut,45.5018869,-73.56739189999999
Montreal,Thali Cuisine Indienne,45.4931154,-73.5806427
Montreal,Restaurant PM,45.493737,-73.57963960000001
Montreal,Desserts Etc,45.4931771,-73.5802808
Montreal,El Pastaman,45.5130433,-73.55919329999999
Montreal,Pitarifique,45.5177823,-73.581721
Montreal,Boustan,45.5591887,-73.65838889999999
Montreal,Campo Poulet Portugais,45.5005293,-73.574846
Montreal,Uncle Tetsu's Japanese Cheesecake,45.5018869,-73.56739189999999
Montreal,Pho Nguyen,45.4943649,-73.5804485
Montreal,Kojax Restaurants,45.4706537,-73.4715484
Montreal,Banh Mi 79,45.5108241,-73.56315110000001
Montreal,Chateau Kebab,45.4958857,-73.5801558
Montreal,Picks,45.49308,-73.580634
Montreal,Omnivore,45.5018869,-73.56739189999999
Montreal,Zoe & Presotea,45.4949184,-73.5814399
Montreal,The Alley,45.4948234,-73.57765429999999
Montreal,Poke Bento,45.4943865,-73.5804874
Montreal,Tejano BBQ Burrito (St-Henri),45.4729916,-73.589085
Montreal,Parma Cafe,45.5358363,-73.61648629999999
Montreal,Snaxies,45.5190821,-73.5949658
Montreal,Krispy Kreme,45.4992059,-73.628117
Montreal,Burger King,45.5018869,-73.56739189999999
Montreal,Che Churros & Empanadas,45.5176424,-73.5850095
Montreal,Bombay Mahal,45.5247222,-73.6258333
Montreal,PresoTea,45.5018869,-73.56739189999999
Montreal,Sammi & Soupe Dumpling,45.49273549999999,-73.5807708
Montreal,Schwartz's Deli,45.5163503,-73.5776401
Montreal,Aunt Dai,45.49431939999999,-73.5803435
Montreal,Curry Mahal,45.5155629,-73.5765026
Montreal,Wienstein and Gavino's,45.4975111,-73.57674999999999
Montreal,Grillado's Poulet Grille Peri Peri,45.5074589,-73.56407779999999
Montreal,Restaurant Ethan,45.507239,-73.560352
Montreal,Dairy Queen,45.5018869,-73.56739189999999
Montreal,Spicebros,45.5018869,-73.56739189999999
Montreal,Liquid Nutrition,45.5018869,-73.56739189999999
Montreal,Bacaro Urban Pizzeria,45.5018869,-73.56739189999999
Montreal,Raku,45.5183284,-73.58125129999999
Montreal,Student Tasty Biryani,45.4957837,-73.5803559
Montreal,La Foumagerie,45.4781115,-73.6041975
Montreal,Cocktail Hawaii,45.495222,-73.5800032
Montreal,K2+,45.4977355,-73.5773024
Montreal,Ofish MTL,45.4753428,-73.62328470000001
Montreal,Tsukuyomi,45.4960667,-73.5757711
Montreal,Cuisine Szechuan,45.4963086,-73.5814676
Montreal,Romados Rôtisserie et Pâtisserie,45.5018869,-73.56739189999999
Montreal,Freshii,45.50060329999999,-73.5747312
Montreal,Don Tacos,45.4931771,-73.5802808
Montreal,Le Petit Sao (Vieux Montréal),45.5034096,-73.5580684
Montreal,Nilufar (Rue Sainte-Catherine O),45.4926782,-73.5808824
Montreal,Lafleur Restaurant (Montreal),45.5018869,-73.56739189999999
Montreal,Le Taj,45.5009164,-73.5766481
Montreal,Cote St-Luc BBQ,45.479516,-73.624371
Montreal,Chez Hailar,45.496279,-73.581744
Montreal,Restaurant Sesame Atwater,45.4795936,-73.575661
Montreal,Dirty Dogs,45.5147364,-73.57410229999999
Montreal,ÔFour,45.5087886,-73.5727043
Montreal,Jano Grillades (poulet portugais),45.51621,-73.57728399999999
Montreal,Chung Chun Kogo Coreen,45.5018869,-73.56739189999999
Montreal,La Cantina,45.50022,-73.57578199999999
Montreal,TSUJIRI Montreal,45.4973714,-73.5765406
Montreal,Medusa Restaurant,45.4979333,-73.5731121
Montreal,Quesada Burritos & Tacos,45.5018869,-73.56739189999999
Montreal,Wok To Go,45.5045856,-73.5686077
Montreal,Brigade Neapolitan Pizza,45.5018869,-73.56739189999999
Montreal,Shuyi Tealicious,45.5076563,-73.5603589
Montreal,Ben & Jerry's,45.5015608,-73.5709418
Montreal,Restaurant Végo,45.5154587,-73.5646343
Montreal,Ichifuku,45.4925795,-73.5809587
Montreal,Cafe Cantina,45.4826694,-73.5622556
Montreal,Restaurant La capital,45.5084429,-73.5610566
Montreal,Vago,45.487247,-73.590662
Montreal,Rockaberry,45.5018869,-73.56739189999999
Montreal,Felix &Norton,45.5075936,-73.5508213
Montreal,Koa Lua,45.4959246,-73.5767597
Montreal,Tejano BBQ Burrito (Vieux Montréal),45.5074534,-73.5544177
Montreal,Abrakababra,45.5178267,-73.5701725
Montreal,Restaurant Burger Bros,45.5149665,-73.57461160000001
Montreal,Shawarma Habibi,45.4964884,-73.5717725
Montreal,Sansalizza,45.51047,-73.5761452
Montreal,PhoBo,45.5018869,-73.56739189999999
Montreal,Monteiro Grillades Portugaises,45.5906263,-73.6323297
Montreal,Star Of India Restaurant,45.4935694,-73.5792988
Montreal,La Maison Du Bulgogi,45.4911432,-73.5826778
Montreal,Provision Cote des Neiges,45.4966292,-73.58230619999999
Montreal,DonDonYa,45.49718319999999,-73.5772503
Montreal,Okane Sushi Bar,45.4941346,-73.5640846
Montreal,Ho Lee Chix,45.5096042,-73.5639072
Montreal,Singh's Indian Cuisine (Boul Saint Laurent),45.5146621,-73.5745167
Montreal,CoCo Fresh Tea & Juice,45.4967593,-73.5759404
Montreal,Sophie Sucrée,45.5151335,-73.5757203
Montreal,Ichiraku Kawaki,45.49480699999999,-73.55776759999999
Montreal,Dunn's Famous Express,45.4946668,-73.65201139999999
Montreal,3 Brasseurs,45.5018869,-73.56739189999999
Montreal,QingHua Dumpling (Maisonneuve),45.4949188,-73.5803364
Montreal,Restaurant Delicieux,45.4986403,-73.6269892
Montreal,Banditos Burritos,45.5250783,-73.5596
Montreal,La Popessa,45.5055392,-73.5586762
Montreal,Deli Lesters,45.5018869,-73.56739189999999
Montreal,Nouilles Zhonghua,45.50328469999999,-73.5749407
Montreal,Hang Time Pizza,45.49753159999999,-73.5776961
Montreal,Yifang Taiwan Fruit Tea,45.4960317,-73.5807086
Montreal,Hazukido,45.4947621,-73.5785662
Montreal,Wrap Kings,45.5018869,-73.56739189999999
Montreal,Le Bay Ca Phe,45.5244958,-73.5957079
Montreal,Petit Poisson Dumpling,45.493637,-73.579681
Montreal,Abe & Mary's,45.4993124,-73.57753009999999
Montreal,Lloydie's,45.5018869,-73.56739189999999
Montreal,M4 Burrito (Rue St-Denis),45.51596019999999,-73.5649006
Montreal,3 Amigos,45.4944244,-73.5789844
Montreal,World Tea House 世界茶饮,45.5018869,-73.56739189999999
Montreal,Bistro CO UT,45.5218748,-73.5702607
Montreal,Pizza Saint Henri,45.4770135,-73.58699659999999
Montreal,Vua,45.500133,-73.5652994
Montreal,Restaurant Pho Maisonneuve,45.5174403,-73.5588836
Montreal,Restaurant Santa Lucia,45.5018869,-73.56739189999999
Montreal,Mclean's Pub,45.49954229999999,-73.57214069999999
Montreal,Pho Bac 97 (Boul St-Laurent),45.5078836,-73.5598317
Montreal,COQCOR,45.4948645,-73.5769071
Montreal,Bowhead Pub,45.5119283,-73.56184990000001
Montreal,Mysore La Express,45.54078,-73.591009
Montreal,Eko Sushi,45.480269,-73.579506
Montreal,Olivia's Authentic Chicken,45.4974183,-73.577794
Montreal,Takara,45.5011514,-73.5733774
Montreal,Coco Rico,45.5164701,-73.5777592
Montreal,La Cage,45.5018869,-73.56739189999999
Montreal,Nos Thes,45.4949423,-73.5782622
Montreal,L'appétissant Sichuan,45.5015733,-73.5590174
Montreal,Kinton Ramen Canada,45.5018869,-73.56739189999999
Montreal,Arahova Souvlaki Saint Viateur,45.5226294,-73.60164139999999
Montreal,YUMI,45.4963176,-73.578297
