date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-03-16 00:00:00,7.7,3.4,15,0,,13,8.6,,1012.5,
2021-03-17 00:00:00,6.8,1,14.1,0,,354,6.4,,1016.1,
2021-03-18 00:00:00,6.6,1.2,14,0.1,,23,7.1,,1014.6,
2021-03-19 00:00:00,6.4,0.1,13,0.5,,52,8,,1012.6,
2021-03-20 00:00:00,8.1,3.7,14,0.3,,11,12,,1011.8,
2021-03-21 00:00:00,8,2.6,14,0,,9,20.9,,1007.2,
2021-03-22 00:00:00,8.1,2.3,14,0,,14,19.6,,1008.1,
2021-03-23 00:00:00,7.8,3.5,13,0,,8,17.9,,1018.5,
2021-03-24 00:00:00,8.7,1.2,17,0,,359,11.1,,1022.3,
2021-03-25 00:00:00,9.8,2.5,17,0,,293,8.3,,1022.5,
2021-03-26 00:00:00,11.1,4.5,18,0,,149,7.4,,1025.3,
2021-03-27 00:00:00,12.4,8.6,18,0,,139,8.9,,1027.3,
2021-03-28 00:00:00,12.3,6.1,19,0,,330,6.6,,1030.8,
2021-03-29 00:00:00,13,5,21,0,,337,6.6,,1032,
2021-03-30 00:00:00,14.5,7,24,0,,0,7.9,,1029.2,
2021-03-31 00:00:00,15,8.3,24,0,,340,7.6,,1024.6,
2021-04-01 00:00:00,14.8,9.6,22,0,,197,7.2,,1020.2,
2021-04-02 00:00:00,14.9,9.9,21,0,,175,6.1,,1016.7,
2021-04-03 00:00:00,13.6,9,20,2.1,,138,6.6,,1011.3,
2021-04-04 00:00:00,14.2,8.5,20,3.7,,19,13.4,,1012.2,
2021-04-05 00:00:00,11.3,7,17,0,,330,9.4,,1013.8,
2021-04-06 00:00:00,12.3,7.2,18,2.3,,182,15.5,,1003.9,
2021-04-07 00:00:00,8.7,4.5,13,0.3,,5,16.8,,1010.3,
2021-04-08 00:00:00,8.1,0.5,15,0,,349,10.8,,1025.8,
2021-04-09 00:00:00,8.9,1.3,17,0,,134,9,,1028.2,
2021-04-10 00:00:00,11.3,6.5,15,1.1,,148,9.2,,1024.2,
2021-04-11 00:00:00,12.8,9.7,16,0.7,,150,11.4,,1020.4,
2021-04-12 00:00:00,12.5,10.2,16,20.4,,165,13,,1018.3,
2021-04-13 00:00:00,11.2,6.7,16,2.7,,309,12.1,,1016.3,
2021-04-14 00:00:00,10,4.5,17,0.3,,15,11.6,,1019.8,
2021-04-15 00:00:00,10.3,6,16,0.6,,34,7.8,,1019,
