store_name,latitude,longitude
Bottiglieria Pigneto,41.8879204,12.5298986
Drupa Caffe,41.9441202,12.3903066
Pausa panino,41.8674396,12.4927454
Borgo 139,41.903891,12.4596849
L'Enoteca Gourmet,41.8728919,12.5276237
Viva Nachos,41.8967068,12.4822025
 Mattarello D'Oro,41.9522274,12.5433382
Drupa Caffe,41.9441202,12.3903066
SPARTA,41.9282681,12.5147931
I Love Burger & much more,41.8967068,12.4822025
American Candy Corner,41.8776015,12.5184314
ODStore,41.8967068,12.4822025
FOOLISH SHOP,41.8967068,12.4822025
Quintilium LV Cocktail Bar roma,41.8656639,12.5467095
Rusticini,41.8735498,12.5194902
Kilo - Tirso,41.9183475,12.4984235
Ham Holy Burger,41.8967068,12.4822025
Pangea,41.9420985,12.5253675
The Second,41.8967068,12.4822025
Kathmandu fast food,41.8939882,12.5027381
Legami Sushi & More,41.911333,12.493917
Burger bubbles,41.8967068,12.4822025
Depuravita,41.8967068,12.4822025
"Tigelleria Romana - Gnocco Fritto, Hamburger e Pinsa",41.9674509,12.517352
Kalowry,41.8967068,12.4822025
Rusticini,41.8735498,12.5194902
Drupa Caffe,41.9441202,12.3903066
Bottega Vittoria,41.9055879,12.4584324
Borgo 139,41.903891,12.4596849
Grammo,41.832494,12.4624778
One Market,41.87010069999999,12.5313102
FOOLISH SHOP,41.8967068,12.4822025
Gelateria Retro',41.8988676,12.4339363
FOOLISH SHOP,41.8967068,12.4822025
Lucky Sushi,41.9061126,12.4454153
A Tutta Bufala,41.9365503,12.516718
L'Enoteca Gourmet,41.8728919,12.5276237
Farina Pick Your Kind,41.9097312,12.5425921
La Soffitta Renovatio,41.90591,12.4590061
FOOLISH SHOP,41.8967068,12.4822025
Pollo Arena,41.8995637,12.4751423
I Love Burger & much more,41.8967068,12.4822025
America Graffiti,41.8406865,12.5520659
Pokè Burger by Ami Pokè,41.8967068,12.4822025
FOOLISH SHOP,41.8967068,12.4822025
One Market,41.87010069999999,12.5313102
Caffe Washington,41.9007833,12.4968467
