store_id,store_name,latitude,longitude,city,neighborhood
ROM0,Pollo Arena,41.8995637,12.4751423,Rome,Sant'Eustachio
ROM1,Caffetteria Gio,41.8987746,12.4684514,Rome,Parione
ROM2,Bombolone @ DolceVita,41.9006358,12.4801556,Rome,Colonna
ROM3,Casa & Bottega,41.9005349,12.4696666,Rome,Ponte
ROM4,LM Frutta,41.9029722,12.4872246,Rome,Trevi
ROM5,Avocado Bar Roma,41.8938729,12.488272,Rome,Monti
ROM6,La Fraschetta di Castel Sant’Angelo,41.90012540000001,12.4667988,Rome,Ponte
ROM7,Pasta e Vino Come Na Vorta,41.8906983,12.4692916,Rome,Trastevere
ROM8,La tonneria,41.8908154,12.4685058,Rome,Trastevere
ROM9,Gustoso Vegano,41.9008195,12.4730601,Rome,Ponte
ROM10,Wok to Walk,41.8957487,12.472348,Rome,Parione
ROM11,Cucina del Teatro,41.900435,12.469465,Rome,Ponte
ROM12,Colazione @ Dolce Vita,41.8997079,12.473359,Rome,Parione
ROM13,Obicà Mozzarella Bar - Parlamento,41.9022945,12.4761371,Rome,Campo Marzio
ROM14,Dolce Green,41.90312369999999,12.4819733,Rome,Colonna
ROM15,Magnum Pleasure @ Home,41.9004978,12.483739,Rome,Trevi
ROM16,Pomodorum,41.89631929999999,12.4947581,Rome,Monti
ROM17,Festa Vino e Snack,41.8938307,12.4894858,Rome,Monti
ROM18,OiSushi,41.8968582,12.4733613,Rome,Parione
ROM19,Il Convivio Troiani,41.901561,12.472707,Rome,Ponte
ROM20,Volpe Pasini - Bistrò Italiano,41.8917334,12.4929905,Rome,Monti
ROM21,al42 by Pasta Chef,41.894807,12.4897611,Rome,Monti
ROM22,La Biga,41.8914901,12.4925557,Rome,Monti
ROM23,Vip Very Italian Pizza Roma,41.8971078,12.4721769,Rome,Parione
ROM24,Rec 23,41.8919704,12.469326,Rome,Trastevere
ROM25,Baffetto 2,41.8960331,12.4719915,Rome,Parione
ROM26,La Romana Pizzeria,41.8992426,12.4689835,Rome,Ponte
ROM27,Venchi Gelato & Cioccolato,41.9001204,12.4806874,Rome,Colonna
ROM28,Pasta in Corso,41.8988102,12.4676379,Rome,Ponte
