date,temperature_celsius,precipitation_mm,snowfall_cm,weather_condition,is_raining,is_snowing
2021-03-16,7.7,0.0,0.0,clear,0,0
2021-03-17,6.8,0.0,0.0,clear,0,0
2021-03-18,6.6,0.1,0.0,rain,1,0
2021-03-19,6.4,0.5,0.0,rain,1,0
2021-03-20,8.1,0.3,0.0,rain,1,0
2021-03-21,8.0,0.0,0.0,clear,0,0
2021-03-22,8.1,0.0,0.0,clear,0,0
2021-03-23,7.8,0.0,0.0,clear,0,0
2021-03-24,8.7,0.0,0.0,clear,0,0
2021-03-25,9.8,0.0,0.0,clear,0,0
2021-03-26,11.1,0.0,0.0,clear,0,0
2021-03-27,12.4,0.0,0.0,clear,0,0
2021-03-28,12.3,0.0,0.0,clear,0,0
2021-03-29,13.0,0.0,0.0,clear,0,0
2021-03-30,14.5,0.0,0.0,clear,0,0
2021-03-31,15.0,0.0,0.0,clear,0,0
2021-04-01,14.8,0.0,0.0,clear,0,0
2021-04-02,14.9,0.0,0.0,clear,0,0
2021-04-03,13.6,2.1,0.0,rain,1,0
2021-04-04,14.2,3.7,0.0,rain,1,0
2021-04-05,11.3,0.0,0.0,clear,0,0
2021-04-06,12.3,2.3,0.0,rain,1,0
2021-04-07,8.7,0.3,0.0,rain,1,0
2021-04-08,8.1,0.0,0.0,clear,0,0
2021-04-09,8.9,0.0,0.0,clear,0,0
2021-04-10,11.3,1.1,0.0,rain,1,0
2021-04-11,12.8,0.7,0.0,rain,1,0
2021-04-12,12.5,20.4,0.0,rain,1,0
2021-04-13,11.2,2.7,0.0,rain,1,0
2021-04-14,10.0,0.3,0.0,rain,1,0
2021-04-15,10.3,0.6,0.0,rain,1,0
2021-04-16,10.2,0.2,0.0,rain,1,0
2021-04-17,10.8,0.0,0.0,clear,0,0
2021-04-18,9.3,5.9,0.0,rain,1,0
2021-04-19,8.8,1.2,0.0,rain,1,0
2021-04-20,9.9,0.8,0.0,rain,1,0
2021-04-21,11.5,0.4,0.0,rain,1,0
2021-04-22,13.2,4.6,0.0,rain,1,0
2021-04-23,14.4,0.1,0.0,rain,1,0
2021-04-24,14.9,0.0,0.0,clear,0,0
2021-04-25,14.3,0.0,0.0,clear,0,0
2021-04-26,14.6,0.9,0.0,rain,1,0
2021-04-27,15.9,4.8,0.0,rain,1,0
2021-04-28,15.9,18.2,0.0,rain,1,0
2021-04-29,15.6,4.3,0.0,rain,1,0
2021-04-30,17.7,0.0,0.0,clear,0,0
2021-05-01,17.1,2.9,0.0,rain,1,0
2021-05-02,15.7,1.2,0.0,rain,1,0
2021-05-03,14.7,0.0,0.0,clear,0,0
2021-05-04,13.1,1.5,0.0,rain,1,0
2021-05-05,15.1,0.2,0.0,rain,1,0
2021-05-06,16.9,0.0,0.0,clear,0,0
2021-05-07,17.1,0.0,0.0,clear,0,0
2021-05-08,18.2,0.0,0.0,clear,0,0
2021-05-09,19.0,0.0,0.0,clear,0,0
2021-05-10,19.8,0.0,0.0,clear,0,0
2021-05-11,17.9,12.5,0.0,rain,1,0
2021-05-12,16.8,3.2,0.0,rain,1,0
2021-05-13,16.6,5.7,0.0,rain,1,0
2021-05-14,14.2,7.3,0.0,rain,1,0
2021-05-15,15.0,0.3,0.0,rain,1,0
2021-05-16,16.9,0.0,0.0,clear,0,0
2021-05-17,18.1,0.0,0.0,clear,0,0
2021-05-18,16.1,0.0,0.0,clear,0,0
2021-05-19,17.0,1.2,0.0,rain,1,0
2021-05-20,16.4,0.0,0.0,clear,0,0
2021-05-21,16.8,0.0,0.0,clear,0,0
2021-05-22,18.7,0.0,0.0,clear,0,0
2021-05-23,20.1,0.0,0.0,clear,0,0
2021-05-24,21.1,0.1,0.0,rain,1,0
2021-05-25,19.2,0.0,0.0,clear,0,0
2021-05-26,18.5,0.0,0.0,clear,0,0
2021-05-27,17.8,0.0,0.0,clear,0,0
2021-05-28,19.4,0.0,0.0,clear,0,0
2021-05-29,20.2,0.0,0.0,clear,0,0
2021-05-30,19.6,1.6,0.0,rain,1,0
2021-05-31,19.1,0.1,0.0,rain,1,0
2021-06-01,19.2,0.0,0.0,clear,0,0
2021-06-02,19.6,0.0,0.0,clear,0,0
2021-06-03,21.4,0.0,0.0,clear,0,0
2021-06-04,22.3,0.0,0.0,clear,0,0
2021-06-05,21.2,2.2,0.0,rain,1,0
2021-06-06,20.7,10.3,0.0,rain,1,0
2021-06-07,21.2,41.0,0.0,rain,1,0
2021-06-08,19.5,10.3,0.0,rain,1,0
2021-06-09,20.1,1.3,0.0,rain,1,0
2021-06-10,22.2,0.1,0.0,rain,1,0
2021-06-11,22.2,0.3,0.0,rain,1,0
2021-06-12,23.0,0.0,0.0,clear,0,0
2021-06-13,24.1,0.0,0.0,clear,0,0
2021-06-14,24.0,0.5,0.0,rain,1,0
2021-06-15,23.3,0.0,0.0,clear,0,0
2021-06-16,22.7,0.0,0.0,clear,0,0
2021-06-17,24.0,0.0,0.0,clear,0,0
2021-06-18,23.7,0.0,0.0,clear,0,0
2021-06-19,24.3,0.0,0.0,clear,0,0
2021-06-20,24.6,0.0,0.0,clear,0,0
2021-06-21,26.7,0.0,0.0,clear,0,0
2021-06-22,27.0,0.0,0.0,clear,0,0
2021-06-23,26.5,0.0,0.0,clear,0,0
2021-06-24,25.8,0.0,0.0,clear,0,0
2021-06-25,25.4,0.0,0.0,clear,0,0
2021-06-26,24.9,0.0,0.0,clear,0,0
2021-06-27,26.4,0.0,0.0,clear,0,0
2021-06-28,27.6,0.0,0.0,clear,0,0
2021-06-29,26.8,0.0,0.0,clear,0,0
2021-06-30,25.7,0.0,0.0,clear,0,0
2021-07-01,25.1,0.0,0.0,clear,0,0
2021-07-02,25.4,0.0,0.0,clear,0,0
2021-07-03,26.0,0.0,0.0,clear,0,0
2021-07-04,25.9,0.0,0.0,clear,0,0
2021-07-05,26.7,0.0,0.0,clear,0,0
2021-07-06,27.5,0.0,0.0,clear,0,0
2021-07-07,27.8,0.0,0.0,clear,0,0
2021-07-08,27.3,0.0,0.0,clear,0,0
2021-07-09,26.6,0.0,0.0,clear,0,0
2021-07-10,26.1,0.0,0.0,clear,0,0
2021-07-11,26.2,0.0,0.0,clear,0,0
2021-07-12,26.4,0.0,0.0,clear,0,0
2021-07-13,26.8,0.1,0.0,rain,1,0
2021-07-14,23.5,0.0,0.0,clear,0,0
2021-07-15,23.2,0.0,0.0,clear,0,0
2021-07-16,23.3,4.4,0.0,rain,1,0
2021-07-17,21.9,2.5,0.0,rain,1,0
2021-07-18,24.2,0.6,0.0,rain,1,0
2021-07-19,25.8,0.0,0.0,clear,0,0
