city,restaurant,latitude,longitude,neighborhood
Montreal,McDonald's,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Poulet Bronze,45.4951493,-73.5795709,Ville-Marie
Montreal,Joe's Panini 24hrs (1404 Rue Drummond),45.4987129,-73.5748021,Ville-Marie
Montreal,I Am Pho,45.4948197,-73.5798667,Ville-Marie
Montreal,Wok Cafe,45.4932398,-73.5801484,Ville-Marie
Montreal,Mexigrill Express,45.5133002,-73.57094289999999,Le Plateau-Mont-Royal
Montreal,Mandy's,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Poke Monster,45.5155634,-73.56398779999999,TOD quartier Berri UQAM
Montreal,Green Spot,45.4809248,-73.5788376,Saint-Henri
Montreal,Sumac,45.4794972,-73.58089439999999,Saint-Henri
Montreal,Five Guys Burgers & Fries,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Notre-Boeuf-de-Grâce,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Subway,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Pizza Hut,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Thali Cuisine Indienne,45.4931154,-73.5806427,Ville-Marie
Montreal,Restaurant PM,45.493737,-73.57963960000001,Ville-Marie
Montreal,Desserts Etc,45.4931771,-73.5802808,Ville-Marie
Montreal,El Pastaman,45.5130433,-73.55919329999999,TOD quartier Berri UQAM
Montreal,Pitarifique,45.5177823,-73.581721,Le Plateau-Mont-Royal
Montreal,Campo Poulet Portugais,45.5005293,-73.574846,Quartier des Spectacles
Montreal,Uncle Tetsu's Japanese Cheesecake,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Pho Nguyen,45.4943649,-73.5804485,Ville-Marie
Montreal,Banh Mi 79,45.5108241,-73.56315110000001,Quartier des Spectacles
Montreal,Chateau Kebab,45.4958857,-73.5801558,Ville-Marie
Montreal,Picks,45.49308,-73.580634,Ville-Marie
Montreal,Omnivore,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Zoe & Presotea,45.4949184,-73.5814399,Ville-Marie
Montreal,The Alley,45.4948234,-73.57765429999999,Ville-Marie
Montreal,Poke Bento,45.4943865,-73.5804874,Ville-Marie
Montreal,Tejano BBQ Burrito (St-Henri),45.4729916,-73.589085,Saint-Henri
Montreal,Snaxies,45.5190821,-73.5949658,Mile-End
Montreal,Burger King,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Che Churros & Empanadas,45.5176424,-73.5850095,Le Plateau-Mont-Royal
Montreal,PresoTea,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Sammi & Soupe Dumpling,45.49273549999999,-73.5807708,Ville-Marie
Montreal,Schwartz's Deli,45.5163503,-73.5776401,Le Plateau-Mont-Royal
Montreal,Aunt Dai,45.49431939999999,-73.5803435,Ville-Marie
Montreal,Curry Mahal,45.5155629,-73.5765026,Le Plateau-Mont-Royal
Montreal,Wienstein and Gavino's,45.4975111,-73.57674999999999,Ville-Marie
Montreal,Grillado's Poulet Grille Peri Peri,45.5074589,-73.56407779999999,Quartier des Spectacles
Montreal,Restaurant Ethan,45.507239,-73.560352,Quartier Chinois
Montreal,Dairy Queen,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Spicebros,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Liquid Nutrition,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Bacaro Urban Pizzeria,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Raku,45.5183284,-73.58125129999999,Le Plateau-Mont-Royal
Montreal,Student Tasty Biryani,45.4957837,-73.5803559,Ville-Marie
Montreal,Cocktail Hawaii,45.495222,-73.5800032,Ville-Marie
Montreal,K2+,45.4977355,-73.5773024,Ville-Marie
Montreal,Tsukuyomi,45.4960667,-73.5757711,Ville-Marie
Montreal,Cuisine Szechuan,45.4963086,-73.5814676,Ville-Marie
Montreal,Romados Rôtisserie et Pâtisserie,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Freshii,45.50060329999999,-73.5747312,Quartier des Spectacles
Montreal,Don Tacos,45.4931771,-73.5802808,Ville-Marie
Montreal,Le Petit Sao (Vieux Montréal),45.5034096,-73.5580684,Vieux-Montréal
Montreal,Nilufar (Rue Sainte-Catherine O),45.4926782,-73.5808824,Ville-Marie
Montreal,Lafleur Restaurant (Montreal),45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Le Taj,45.5009164,-73.5766481,Ville-Marie
Montreal,Chez Hailar,45.496279,-73.581744,Ville-Marie
Montreal,Restaurant Sesame Atwater,45.4795936,-73.575661,Le Sud-Ouest
Montreal,Dirty Dogs,45.5147364,-73.57410229999999,Le Plateau-Mont-Royal
Montreal,ÔFour,45.5087886,-73.5727043,Le Plateau-Mont-Royal
Montreal,Jano Grillades (poulet portugais),45.51621,-73.57728399999999,Le Plateau-Mont-Royal
Montreal,Chung Chun Kogo Coreen,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,La Cantina,45.50022,-73.57578199999999,Ville-Marie
Montreal,TSUJIRI Montreal,45.4973714,-73.5765406,Ville-Marie
